CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
05081000;La Garonne à Couthures;500;4;Poissons;2016-10-18;1301;Température de l'Eau;15.3;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2016-10-18;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2016-10-18;1303;Conductivité à 25°C;296.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2016-10-18;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2017-09-20;1301;Température de l'Eau;17.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2017-09-20;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2017-09-20;1303;Conductivité à 25°C;287.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2017-09-20;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2018-09-20;1301;Température de l'Eau;23.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2018-09-20;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2018-09-20;1303;Conductivité à 25°C;310.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2018-09-20;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2019-09-26;1301;Température de l'Eau;20.4;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82651eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM162.00_PntCEPM0.19_ProfMStaM1.76_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2019-09-26;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05081000;La Garonne à Couthures;500;4;Poissons;2019-09-26;1303;Conductivité à 25°C;280.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe82651eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM162.00_PntCEPM0.19_ProfMStaM1.76_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2019-09-26;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05083580;La Garonne au Mas d'Agenais;500;4;Poissons;2016-10-28;1301;Température de l'Eau;14.7;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25444eta2_SurfEchMc1250.0_SBVDKmc47435.0_DSrcKm387.83_LarMEauM187.0_PntCEPM0.2_ProfMStaM2.43_AltM19_TAir1C7.7_TAir7C21.9;1;Donnée brute;1;Correcte;2016-10-28;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05083580;La Garonne au Mas d'Agenais;500;4;Poissons;2016-10-28;1303;Conductivité à 25°C;247.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe25444eta2_SurfEchMc1250.0_SBVDKmc47435.0_DSrcKm387.83_LarMEauM187.0_PntCEPM0.2_ProfMStaM2.43_AltM19_TAir1C7.7_TAir7C21.9;1;Donnée brute;0;Qualification non definissable;2016-10-28;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05083580;La Garonne au Mas d'Agenais;500;4;Poissons;2018-10-08;1301;Température de l'Eau;17.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe39362eta2_SurfEchMc1250.0_SBVDKmc47435.0_DSrcKm387.83_LarMEauM171.0_PntCEPM0.2_ProfMStaM1.4_AltM19_TAir1C7.7_TAir7C21.9;1;Donnée brute;1;Correcte;2018-10-08;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05083580;La Garonne au Mas d'Agenais;500;4;Poissons;2018-10-08;1303;Conductivité à 25°C;305.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe39362eta2_SurfEchMc1250.0_SBVDKmc47435.0_DSrcKm387.83_LarMEauM171.0_PntCEPM0.2_ProfMStaM1.4_AltM19_TAir1C7.7_TAir7C21.9;1;Donnée brute;0;Qualification non definissable;2018-10-08;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2016-10-19;1301;Température de l'Eau;14.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31151eta2_SurfEchMc1250.0_SBVDKmc38070.0_DSrcKm365.4_LarMEauM131.0_PntCEPM0.29_ProfMStaM1.78_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;1;Correcte;2016-10-19;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2016-10-19;1303;Conductivité à 25°C;318.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31151eta2_SurfEchMc1250.0_SBVDKmc38070.0_DSrcKm365.4_LarMEauM131.0_PntCEPM0.29_ProfMStaM1.78_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2016-10-19;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2017-09-21;1301;Température de l'Eau;17.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31173eta2_SurfEchMc1162.5_SBVDKmc38070.0_DSrcKm365.4_LarMEauM136.0_PntCEPM0.29_ProfMStaM1.56_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;1;Correcte;2017-09-21;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2017-09-21;1303;Conductivité à 25°C;308.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe31173eta2_SurfEchMc1162.5_SBVDKmc38070.0_DSrcKm365.4_LarMEauM136.0_PntCEPM0.29_ProfMStaM1.56_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;0;Qualification non definissable;2017-09-21;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
05104000;La Garonne en amont du Lot;500;4;Poissons;2018-09-21;1301;Température de l'Eau;22.7;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0;0;Méthode inconnue;Aspe38908eta2_SurfEchMc1250.0_SBVDKmc38070.0_DSrcKm365.4_LarMEauM130.0_PntCEPM0.29_ProfMStaM1.42_AltM23_TAir1C7.2_TAir7C22.0;1;Donnée brute;1;Correcte;2018-09-21;13002276701142;AGENCE FRANCAISE POUR LA BIODIVERSITE - AFB DIRECTION REGIONALE NOUVELLE AQUITAINE (AFB)
