CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
05081000;La Garonne à Couthures;;468093;6383230;26;RGF93 / Lambert 93;47074;Couthures-sur-Garonne;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR301A;FRFR301A;La Garonne du confluent du Trec à  la confluence du Dropt;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9130000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-11;;Pont du CD3 près de Couthures;M;Station de mesure Manuelle;13;;;;
05111900;La garonne à Colayrac St Cirq;;503168;6349210;26;RGF93 / Lambert 93;47069;Colayrac-Saint-Cirq;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;FRFR300A;La Garonne du confluent du Gers au confluent du Lot;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6410000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2013-04-03;Impact d'un rejet domestique;Lieu dit Roubert à Colayrac St Cirq;M;Station de mesure Manuelle;40;;;;
05112000;La Garonne en aval d'Agen;;508685;6348360;26;RGF93 / Lambert 93;47001;Agen;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;FRFR300A;La Garonne du confluent du Gers au confluent du Lot;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2019-09-18;;Niveau de l'aqueduc du Canal Latéral à Agen;M;Station de mesure Manuelle;45;;;;
05113000;La Garonne en amont d'Agen;;509659;6343380;26;RGF93 / Lambert 93;47031;Boé;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;FRFR300A;La Garonne du confluent du Gers au confluent du Lot;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6400000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-25;;A l'Ecussan, commune de Boé en amont d'Agen;M;Station de mesure Manuelle;43;;;;
05116530;La Garonne à Lafox;;516621;6342490;26;RGF93 / Lambert 93;47128;Lafox;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300B;FRFR300B;La Garonne du confluent de la Barguelonne au confluent du Gers;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6160000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-01-01;;2019-11-26;Autre;Au pont de la D308;M;Station de mesure Manuelle;47;;;;
05117000;La Garonne à Lamagistère;;525386;6338460;26;RGF93 / Lambert 93;82049;Donzac;82;Tarn-et-Garonne;76;Occitanie;FR300B;FRFR300B;La Garonne du confluent de la Barguelonne au confluent du Gers;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6140000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-13;;Pont de Lamagistère;M;Station de mesure Manuelle;48;;;;
05118880;La Garonne à St-Loup;;529701;6334780;26;RGF93 / Lambert 93;82165;Saint-Loup;82;Tarn-et-Garonne;76;Occitanie;FR300C;FRFR300C;La Garonne du confluent du Tarn au confluent de la Barguelonne;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6010000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-01-01;;2015-03-11;Evaluation;Au pont de la D953;M;Station de mesure Manuelle;55;;;;
05118950;La Garonne à St-Nicolas de la Grave;;542126;6334520;26;RGF93 / Lambert 93;82169;Saint-Nicolas-de-la-Grave;82;Tarn-et-Garonne;76;Occitanie;FR300C;FRFR300C;La Garonne du confluent du Tarn au confluent de la Barguelonne;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6000000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2018-04-13;;Pont de Coudol à St-Nicolas de la Grave;M;Station de mesure Manuelle;63;;;;
05154250;La Garonne à Bourret;;553270;6318800;26;RGF93 / Lambert 93;82023;Bourret;82;Tarn-et-Garonne;76;Occitanie;FR296A;FRFR296A;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2680000;O---0000;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2001-07-20;;Pont de la N128 à Bourret;M;Station de mesure Manuelle;84;;;;
05154500;La Garonne à Verdun-sur-Garonne;;558727;6307670;26;RGF93 / Lambert 93;82190;Verdun-sur-Garonne;82;Tarn-et-Garonne;76;Occitanie;FR296A;FRFR296A;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2620000;O---0000;;2;Station qualité située sur un cours d'eau;;1973-01-01;;2018-04-20;;Pont de la D6 à Verdun-sur-Garonne;M;Station de mesure Manuelle;95;;;;
