CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
05081000;La Garonne à Couthures;500;4;Poissons;2015-09-15;1301;Température de l'Eau;20.2;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe31092eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM180.0_PntCEPM0.19_ProfMStaM2.06_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2015-09-15;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2015-09-15;1303;Conductivité à 25°C;291.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe31092eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM180.0_PntCEPM0.19_ProfMStaM2.06_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2015-09-15;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2016-10-18;1301;Température de l'Eau;15.3;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2016-10-18;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2016-10-18;1303;Conductivité à 25°C;296.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe31147eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.69_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2016-10-18;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2017-09-20;1301;Température de l'Eau;17.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2017-09-20;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2017-09-20;1303;Conductivité à 25°C;287.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe31174eta2_SurfEchMc1250.0_SBVDKmc50960.0_DSrcKm409.4_LarMEauM161.0_PntCEPM0.19_ProfMStaM1.31_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2017-09-20;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2018-09-20;1301;Température de l'Eau;23.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2018-09-20;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2018-09-20;1303;Conductivité à 25°C;310.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe38863eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM149.00_PntCEPM0.19_ProfMStaM2.02_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2018-09-20;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2019-09-26;1301;Température de l'Eau;20.4;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe82651eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM162.00_PntCEPM0.19_ProfMStaM1.76_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;1;Correcte;2019-09-26;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
05081000;La Garonne à Couthures;500;4;Poissons;2019-09-26;1303;Conductivité à 25°C;280.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe82651eta2_SurfEchMc1250.00_SBVDKmc50960.00_DSrcKm409.40_LarMEauM162.00_PntCEPM0.19_ProfMStaM1.76_AltM14_TAir1C7.2_TAir7C21.8;1;Donnée brute;0;Qualification non definissable;2019-09-26;13002591900304;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE NOUVELLE AQUITAINE (OFB)
