CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPrelevement;CoordXPrel;CoordYPrel;ProjectPrel;LibelléProjection;CdSupport;LbSupport;CdMethode;NomLongMethodePrel;DatePrel;HeurePrel;DateFinPrel;HeureFinPrel;CdZoneVerticaleProspectee;MnémoZoneVerticaleProspectée;ProfondeurPrel;CdDifficultePrel;MnemoDifficultePrel;CdAccredPrel;MnemoAccredPrel;AgrePrel;CdFinalitePrel;LbFinalitePrel;CommentairesPrel;CdRdd;NomRdd;CdProducteurPrelevement;NomProducteurPrelevement;CdPreleveur;NomPreleveur
05073000;La Garonne en aval de Bordeaux;1341243;;;26;RGF93 / Lambert 93;3;Eau;;;2017-04-10;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1342420;;;26;RGF93 / Lambert 93;3;Eau;;;2017-06-19;09:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1344377;;;26;RGF93 / Lambert 93;3;Eau;;;2016-03-21;08:40:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300013;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1344449;;;26;RGF93 / Lambert 93;3;Eau;;;2016-11-14;09:10:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300013;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1347027;;;26;RGF93 / Lambert 93;3;Eau;;;2017-01-23;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1347116;;;26;RGF93 / Lambert 93;3;Eau;;;2017-07-24;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1390984;;;26;RGF93 / Lambert 93;3;Eau;;;2017-03-20;08:40:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1400696;;;26;RGF93 / Lambert 93;3;Eau;;;2017-08-21;09:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1421024;;;26;RGF93 / Lambert 93;3;Eau;;;2017-10-16;09:25:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1434648;;;26;RGF93 / Lambert 93;3;Eau;;;2017-12-11;09:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1436614;;;26;RGF93 / Lambert 93;3;Eau;;;2017-05-15;08:40:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1436646;;;26;RGF93 / Lambert 93;3;Eau;;;2017-09-18;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1439673;;;26;RGF93 / Lambert 93;3;Eau;;;2018-02-19;08:40:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1440625;;;26;RGF93 / Lambert 93;3;Eau;;;2017-11-13;09:20:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1440748;;;26;RGF93 / Lambert 93;3;Eau;;;2018-01-22;08:50:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1441692;;;26;RGF93 / Lambert 93;3;Eau;;;2018-03-19;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1457168;;;26;RGF93 / Lambert 93;3;Eau;;;2018-05-14;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1459564;;;26;RGF93 / Lambert 93;3;Eau;;;2018-04-09;09:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1461022;;;26;RGF93 / Lambert 93;3;Eau;;;2018-07-23;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1465761;;;26;RGF93 / Lambert 93;3;Eau;;;2018-06-18;08:55:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1466169;;;26;RGF93 / Lambert 93;3;Eau;;;2018-08-20;08:50:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1467793;;;26;RGF93 / Lambert 93;3;Eau;;;2018-09-17;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1470420;;;26;RGF93 / Lambert 93;3;Eau;;;2018-10-15;09:10:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1471510;;;26;RGF93 / Lambert 93;3;Eau;;;2018-11-12;08:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1473771;;;26;RGF93 / Lambert 93;3;Eau;;;2018-12-10;09:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1502730;;;26;RGF93 / Lambert 93;3;Eau;;;2019-02-18;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1510833;;;26;RGF93 / Lambert 93;3;Eau;;;2019-06-17;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1515939;;;26;RGF93 / Lambert 93;3;Eau;;;2019-07-22;08:35:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1516141;;;26;RGF93 / Lambert 93;3;Eau;;;2019-08-19;08:45:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1517675;;;26;RGF93 / Lambert 93;3;Eau;;;2019-09-17;07:01:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1520247;;;26;RGF93 / Lambert 93;3;Eau;;;2019-10-14;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1521549;;;26;RGF93 / Lambert 93;3;Eau;;;2019-11-18;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1547261;;;26;RGF93 / Lambert 93;3;Eau;;;2019-12-09;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1547518;;;26;RGF93 / Lambert 93;3;Eau;;;2019-03-18;08:40:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1547611;;;26;RGF93 / Lambert 93;3;Eau;;;2019-05-13;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1547635;;;26;RGF93 / Lambert 93;3;Eau;;;2019-04-15;09:10:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1569178;;;26;RGF93 / Lambert 93;3;Eau;;;2020-01-20;09:00:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1569194;;;26;RGF93 / Lambert 93;3;Eau;;;2020-02-17;08:30:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1571966;;;26;RGF93 / Lambert 93;3;Eau;;;2020-05-12;08:15:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
05073000;La Garonne en aval de Bordeaux;1574149;;;26;RGF93 / Lambert 93;3;Eau;;;2020-06-08;08:35:00;;;;;;0;Difficultés inconnues;0;INCONNU;;0;Finalité inconnue;;0500000001;Réseau Complémentaire Agence Adour-Garonne;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;20001318300021;SYNDICAT MIXTE QUALYSE
